element,decimal_approx,num_representations,sample_representation
0,0.00000000,1,"(0, 0, 0, 0, 0)"
1,1.00000000,9,"(0, 0, 2, 3, 2)"
1/2,0.50000000,5,"(0, 0, 0, 3, 2)"
1/4,0.25000000,3,"(0, 0, 0, 1, 2)"
1/8,0.12500000,2,"(0, 0, 0, 0, 2)"
1/16,0.06250000,1,"(0, 0, 0, 0, 1)"
2,2.00000000,16,"(0, 2, 2, 3, 2)"
3,3.00000000,16,"(1, 2, 2, 3, 2)"
3/2,1.50000000,13,"(0, 1, 2, 3, 2)"
3/4,0.75000000,7,"(0, 0, 1, 3, 2)"
3/8,0.37500000,4,"(0, 0, 0, 2, 2)"
3/16,0.18750000,2,"(0, 0, 0, 0, 3)"
4,4.00000000,15,"(2, 2, 2, 3, 2)"
5,5.00000000,7,"(3, 2, 2, 3, 2)"
5/2,2.50000000,16,"(0, 3, 2, 3, 2)"
5/4,1.25000000,11,"(0, 0, 3, 3, 2)"
5/8,0.62500000,6,"(0, 0, 1, 2, 2)"
5/16,0.31250000,3,"(0, 0, 0, 1, 3)"
7/2,3.50000000,16,"(1, 3, 2, 3, 2)"
7/4,1.75000000,15,"(0, 1, 3, 3, 2)"
7/8,0.87500000,8,"(0, 0, 2, 2, 2)"
7/16,0.43750000,4,"(0, 0, 0, 2, 3)"
9/2,4.50000000,11,"(2, 3, 2, 3, 2)"
9/4,2.25000000,16,"(0, 2, 3, 3, 2)"
9/8,1.12500000,10,"(0, 0, 3, 2, 2)"
9/16,0.56250000,5,"(0, 0, 0, 3, 3)"
11/2,5.50000000,3,"(3, 3, 2, 3, 2)"
11/4,2.75000000,16,"(0, 3, 3, 3, 2)"
11/8,1.37500000,12,"(0, 1, 2, 2, 2)"
11/16,0.68750000,6,"(0, 0, 1, 2, 3)"
13/4,3.25000000,16,"(1, 2, 3, 3, 2)"
13/8,1.62500000,14,"(0, 1, 3, 2, 2)"
13/16,0.81250000,7,"(0, 0, 1, 3, 3)"
15/4,3.75000000,16,"(1, 3, 3, 3, 2)"
15/8,1.87500000,16,"(0, 2, 2, 2, 2)"
15/16,0.93750000,8,"(0, 0, 2, 2, 3)"
17/4,4.25000000,13,"(2, 2, 3, 3, 2)"
