element,decimal_approx,num_representations,sample_representation
0,0.00000000,1,"(0, 0, 0, 0, 0)"
1,1.00000000,1,"(1, 0, 0, 0, 0)"
2,2.00000000,2,"(0, 1, 0, 0, 0)"
3,3.00000000,2,"(1, 1, 0, 0, 0)"
4,4.00000000,3,"(0, 0, 1, 0, 0)"
5,5.00000000,3,"(1, 0, 1, 0, 0)"
6,6.00000000,4,"(0, 1, 1, 0, 0)"
7,7.00000000,4,"(1, 1, 1, 0, 0)"
8,8.00000000,5,"(0, 0, 0, 1, 0)"
9,9.00000000,5,"(1, 0, 0, 1, 0)"
10,10.00000000,6,"(0, 1, 0, 1, 0)"
11,11.00000000,6,"(1, 1, 0, 1, 0)"
12,12.00000000,7,"(0, 0, 1, 1, 0)"
13,13.00000000,7,"(1, 0, 1, 1, 0)"
14,14.00000000,8,"(0, 1, 1, 1, 0)"
15,15.00000000,8,"(1, 1, 1, 1, 0)"
16,16.00000000,9,"(0, 0, 0, 0, 1)"
17,17.00000000,9,"(1, 0, 0, 0, 1)"
18,18.00000000,10,"(0, 1, 0, 0, 1)"
19,19.00000000,10,"(1, 1, 0, 0, 1)"
20,20.00000000,11,"(0, 0, 1, 0, 1)"
21,21.00000000,11,"(1, 0, 1, 0, 1)"
22,22.00000000,12,"(0, 1, 1, 0, 1)"
23,23.00000000,12,"(1, 1, 1, 0, 1)"
24,24.00000000,13,"(0, 0, 0, 1, 1)"
25,25.00000000,13,"(1, 0, 0, 1, 1)"
26,26.00000000,14,"(0, 1, 0, 1, 1)"
27,27.00000000,14,"(1, 1, 0, 1, 1)"
28,28.00000000,15,"(0, 0, 1, 1, 1)"
29,29.00000000,15,"(1, 0, 1, 1, 1)"
30,30.00000000,16,"(0, 1, 1, 1, 1)"
31,31.00000000,16,"(1, 1, 1, 1, 1)"
32,32.00000000,16,"(0, 0, 0, 0, 2)"
33,33.00000000,16,"(1, 0, 0, 0, 2)"
34,34.00000000,16,"(0, 1, 0, 0, 2)"
35,35.00000000,16,"(1, 1, 0, 0, 2)"
36,36.00000000,16,"(0, 0, 1, 0, 2)"
37,37.00000000,16,"(1, 0, 1, 0, 2)"
38,38.00000000,16,"(0, 1, 1, 0, 2)"
39,39.00000000,16,"(1, 1, 1, 0, 2)"
40,40.00000000,16,"(0, 0, 0, 1, 2)"
41,41.00000000,16,"(1, 0, 0, 1, 2)"
42,42.00000000,16,"(0, 1, 0, 1, 2)"
43,43.00000000,16,"(1, 1, 0, 1, 2)"
44,44.00000000,16,"(0, 0, 1, 1, 2)"
45,45.00000000,16,"(1, 0, 1, 1, 2)"
46,46.00000000,16,"(0, 1, 1, 1, 2)"
47,47.00000000,16,"(1, 1, 1, 1, 2)"
48,48.00000000,16,"(0, 0, 0, 0, 3)"
49,49.00000000,16,"(1, 0, 0, 0, 3)"
50,50.00000000,16,"(0, 1, 0, 0, 3)"
51,51.00000000,16,"(1, 1, 0, 0, 3)"
52,52.00000000,16,"(0, 0, 1, 0, 3)"
53,53.00000000,16,"(1, 0, 1, 0, 3)"
54,54.00000000,16,"(0, 1, 1, 0, 3)"
55,55.00000000,16,"(1, 1, 1, 0, 3)"
56,56.00000000,16,"(0, 0, 0, 1, 3)"
57,57.00000000,16,"(1, 0, 0, 1, 3)"
58,58.00000000,16,"(0, 1, 0, 1, 3)"
59,59.00000000,16,"(1, 1, 0, 1, 3)"
60,60.00000000,16,"(0, 0, 1, 1, 3)"
61,61.00000000,16,"(1, 0, 1, 1, 3)"
62,62.00000000,16,"(0, 1, 1, 1, 3)"
63,63.00000000,16,"(1, 1, 1, 1, 3)"
64,64.00000000,15,"(0, 0, 0, 2, 3)"
65,65.00000000,15,"(1, 0, 0, 2, 3)"
66,66.00000000,14,"(0, 1, 0, 2, 3)"
67,67.00000000,14,"(1, 1, 0, 2, 3)"
68,68.00000000,13,"(0, 0, 1, 2, 3)"
69,69.00000000,13,"(1, 0, 1, 2, 3)"
70,70.00000000,12,"(0, 1, 1, 2, 3)"
71,71.00000000,12,"(1, 1, 1, 2, 3)"
72,72.00000000,11,"(0, 0, 0, 3, 3)"
73,73.00000000,11,"(1, 0, 0, 3, 3)"
74,74.00000000,10,"(0, 1, 0, 3, 3)"
75,75.00000000,10,"(1, 1, 0, 3, 3)"
76,76.00000000,9,"(0, 0, 1, 3, 3)"
77,77.00000000,9,"(1, 0, 1, 3, 3)"
78,78.00000000,8,"(0, 1, 1, 3, 3)"
79,79.00000000,8,"(1, 1, 1, 3, 3)"
80,80.00000000,7,"(0, 0, 2, 3, 3)"
81,81.00000000,7,"(1, 0, 2, 3, 3)"
82,82.00000000,6,"(0, 1, 2, 3, 3)"
83,83.00000000,6,"(1, 1, 2, 3, 3)"
84,84.00000000,5,"(0, 0, 3, 3, 3)"
85,85.00000000,5,"(1, 0, 3, 3, 3)"
86,86.00000000,4,"(0, 1, 3, 3, 3)"
87,87.00000000,4,"(1, 1, 3, 3, 3)"
88,88.00000000,3,"(0, 2, 3, 3, 3)"
89,89.00000000,3,"(1, 2, 3, 3, 3)"
90,90.00000000,2,"(0, 3, 3, 3, 3)"
91,91.00000000,2,"(1, 3, 3, 3, 3)"
92,92.00000000,1,"(2, 3, 3, 3, 3)"
93,93.00000000,1,"(3, 3, 3, 3, 3)"
