element,decimal_approx,num_representations,sample_representation
0,0.00000000,1,()
1,1.00000000,1,"((0,0,1))"
2,2.00000000,1,"((0,0,2))"
3,3.00000000,1,"((1,0,2))"
3/2,1.50000000,1,"((1,0,1))"
4,4.00000000,2,"((1,0,1), (1,1,1))"
5,5.00000000,3,"((1,1,2))"
5/2,2.50000000,2,"((1,1,1))"
5/3,1.66666667,1,"((0,1,1))"
6,6.00000000,4,"((2,0,1), (2,1,1))"
7,7.00000000,4,"((1,1,1), (2,0,2))"
7/2,3.50000000,2,"((0,0,1), (1,1,1))"
8,8.00000000,4,"((1,0,2), (1,1,2))"
8/3,2.66666667,1,"((0,0,1), (0,1,1))"
9,9.00000000,7,"((3,0,1), (3,1,1))"
9/2,4.50000000,2,"((2,0,2))"
9/4,2.25000000,1,"((2,0,1))"
10,10.00000000,13,"((2,1,1), (2,2,1))"
10/3,3.33333333,1,"((0,1,2))"
11,11.00000000,15,"((1,1,1), (2,0,1), (2,2,1))"
11/2,5.50000000,2,"((1,0,2), (1,1,1))"
11/3,3.66666667,1,"((0,0,2), (0,1,1))"
12,12.00000000,15,"((2,0,2), (2,1,2))"
13,13.00000000,16,"((2,2,1), (3,0,2))"
13/2,6.50000000,3,"((1,0,1), (1,1,2))"
13/3,4.33333333,1,"((0,0,1), (0,1,2))"
13/4,3.25000000,1,"((0,0,1), (2,0,1))"
14,14.00000000,23,"((1,1,2), (3,0,1), (3,1,1))"
14/3,4.66666667,1,"((0,1,1), (1,0,2))"
15,15.00000000,34,"((3,1,1), (3,2,1))"
15/2,7.50000000,6,"((2,1,2))"
15/4,3.75000000,2,"((2,1,1))"
16,16.00000000,39,"((2,0,1), (2,1,2), (2,2,1))"
16/3,5.33333333,1,"((0,0,2), (0,1,2))"
17,17.00000000,39,"((2,0,2), (2,2,2))"
17/2,8.50000000,8,"((2,0,1), (2,2,1))"
17/3,5.66666667,3,"((1,0,1), (1,2,1))"
17/4,4.25000000,1,"((0,0,2), (2,0,1))"
18,18.00000000,41,"((3,0,2), (3,1,2))"
19,19.00000000,60,"((3,0,1), (3,3,1))"
19/2,9.50000000,8,"((1,1,2), (2,0,2))"
19/3,6.33333333,1,"((0,1,2), (1,0,2))"
19/4,4.75000000,3,"((1,1,1), (2,0,1))"
19/6,3.16666667,1,"((0,1,1), (1,0,1))"
20,20.00000000,87,"((2,1,2), (2,2,2))"
20/3,6.66666667,5,"((1,1,1), (1,2,1))"
21,21.00000000,96,"((2,0,1), (3,2,2))"
21/2,10.50000000,9,"((2,1,1), (3,0,2))"
21/4,5.25000000,2,"((1,0,1), (2,1,1))"
22,22.00000000,90,"((2,0,2), (2,2,1), (3,1,2))"
22/3,7.33333333,3,"((0,1,1), (1,0,1), (1,2,1))"
23,23.00000000,98,"((2,1,1), (2,2,2), (3,0,2))"
23/2,11.50000000,14,"((1,1,1), (3,0,1), (3,1,1))"
23/3,7.66666667,6,"((0,1,1), (2,0,1), (2,1,1))"
23/4,5.75000000,3,"((0,0,1), (1,1,1), (2,0,1))"
24,24.00000000,134,"((3,0,1), (3,1,2), (3,2,1))"
25,25.00000000,188,"((3,2,1), (3,3,1))"
25/2,12.50000000,22,"((2,2,2))"
25/3,8.33333333,6,"((1,2,2))"
25/4,6.25000000,5,"((2,2,1))"
25/6,4.16666667,3,"((1,2,1))"
25/9,2.77777778,1,"((0,2,1))"
26,26.00000000,197,"((2,0,1), (2,2,2), (3,1,2))"
26/3,8.66666667,6,"((1,2,1), (2,0,2))"
27,27.00000000,187,"((2,0,2), (2,1,1), (3,2,2))"
27/2,13.50000000,24,"((2,0,1), (3,1,2))"
27/4,6.75000000,3,"((3,0,2))"
27/8,3.37500000,1,"((3,0,1))"
28,28.00000000,194,"((3,0,2), (3,1,1), (3,3,1))"
28/3,9.33333333,7,"((0,1,2), (2,0,1), (2,1,1))"
29,29.00000000,272,"((2,1,1), (2,2,1), (3,0,1), (3,3,1))"
29/2,14.50000000,24,"((2,0,2), (2,1,1), (2,2,1))"
29/3,9.66666667,6,"((1,0,2), (1,1,1), (1,2,1))"
29/4,7.25000000,6,"((1,1,2), (2,0,1))"
29/6,4.83333333,1,"((0,1,2), (1,0,1))"
30,30.00000000,351,"((3,1,2), (3,2,2))"
31,31.00000000,371,"((2,0,1), (2,1,1), (3,2,1), (3,3,1))"
31/2,15.50000000,25,"((1,1,1), (2,2,1), (3,0,2))"
31/3,10.33333333,7,"((0,1,1), (1,2,1), (2,0,2))"
31/4,7.75000000,5,"((1,0,1), (2,2,1))"
31/6,5.16666667,3,"((0,0,1), (1,2,1))"
32,32.00000000,335,"((2,0,2), (2,2,1), (3,1,1), (3,3,1))"
32/3,10.66666667,9,"((1,0,1), (1,1,2), (1,2,1))"
33,33.00000000,363,"((2,1,2), (3,0,2), (3,2,2))"
33/2,16.50000000,37,"((2,1,1), (3,0,1), (3,2,1))"
33/4,8.25000000,6,"((2,0,2), (2,1,1))"
34,34.00000000,474,"((3,0,1), (3,1,1), (3,2,1), (3,3,1))"
34/3,11.33333333,7,"((1,0,2), (1,2,2))"
34/9,3.77777778,1,"((0,0,1), (0,2,1))"
35,35.00000000,626,"((2,1,1), (3,3,2))"
35/2,17.50000000,54,"((2,2,1), (3,1,2))"
35/3,11.66666667,16,"((1,2,1), (2,1,2))"
35/4,8.75000000,8,"((1,1,1), (2,2,1))"
35/6,5.83333333,3,"((0,1,1), (1,2,1))"
35/8,4.37500000,1,"((0,0,1), (3,0,1))"
36,36.00000000,632,"((2,0,1), (2,2,2), (3,1,1), (3,3,1))"
37,37.00000000,582,"((2,0,2), (2,1,2), (3,2,1), (3,3,1))"
37/2,18.50000000,63,"((2,0,1), (2,1,1), (2,2,2))"
37/3,12.33333333,11,"((1,0,1), (1,1,1), (1,2,2))"
37/4,9.25000000,6,"((1,1,1), (3,0,2))"
37/6,6.16666667,3,"((0,1,1), (2,0,2))"
38,38.00000000,598,"((3,0,2), (3,3,2))"
38/3,12.66666667,21,"((2,0,1), (2,3,1))"
39,39.00000000,804,"((2,1,2), (2,2,2), (3,0,1), (3,3,1))"
39/2,19.50000000,59,"((2,0,2), (3,1,1), (3,2,1))"
39/4,9.75000000,10,"((2,0,1), (2,1,2))"
39/8,4.87500000,1,"((1,0,1), (3,0,1))"
40,40.00000000,1002,"((3,1,1), (3,2,2), (3,3,1))"
40/3,13.33333333,18,"((1,1,2), (1,2,2))"
40/9,4.44444444,1,"((0,1,1), (0,2,1))"
41,41.00000000,997,"((2,0,1), (2,1,2), (3,3,2))"
41/2,20.50000000,65,"((2,1,2), (2,2,1), (3,0,2))"
41/3,13.66666667,21,"((1,1,2), (1,2,1), (2,0,2))"
41/4,10.25000000,8,"((1,0,1), (1,1,1), (2,2,1))"
41/6,6.83333333,3,"((0,0,1), (0,1,1), (1,2,1))"
42,42.00000000,880,"((2,0,2), (2,2,1), (3,3,2))"
43,43.00000000,928,"((3,0,2), (3,1,2), (3,2,1), (3,3,1))"
43/2,21.50000000,92,"((2,2,2), (3,0,1), (3,1,1))"
43/3,14.33333333,24,"((1,2,2), (2,0,1), (2,1,1))"
43/4,10.75000000,10,"((2,0,2), (2,2,1))"
43/6,7.16666667,3,"((1,0,2), (1,2,1))"
43/8,5.37500000,1,"((0,0,2), (3,0,1))"
43/9,4.77777778,1,"((0,0,2), (0,2,1))"
44,44.00000000,1209,"((3,0,1), (3,2,1), (3,3,2))"
44/3,14.66666667,23,"((1,2,1), (2,1,1), (3,0,2))"
45,45.00000000,1474,"((2,1,2), (2,2,1), (3,3,2))"
45/2,22.50000000,131,"((2,1,1), (3,2,2))"
45/4,11.25000000,14,"((3,1,2))"
45/8,5.62500000,2,"((3,1,1))"
46,46.00000000,1451,"((2,0,1), (2,2,2), (3,3,2))"
46/3,15.33333333,24,"((1,1,1), (1,2,2), (2,0,2))"
47,47.00000000,1277,"((2,0,2), (3,1,2), (3,3,2))"
47/2,23.50000000,138,"((2,0,1), (3,1,1), (3,3,1))"
47/3,15.66666667,33,"((1,1,1), (1,2,1), (3,0,1), (3,1,1))"
47/4,11.75000000,10,"((1,1,2), (3,0,2))"
47/6,7.83333333,3,"((0,1,2), (2,0,2))"
47/8,5.87500000,2,"((1,1,1), (3,0,1))"
47/12,3.91666667,1,"((0,1,1), (2,0,1))"
48,48.00000000,1332,"((2,1,1), (2,2,1), (3,0,2), (3,3,2))"
49,49.00000000,1684,"((3,0,1), (3,1,2), (3,2,2), (3,3,1))"
49/2,24.50000000,132,"((2,0,2), (2,1,2), (2,2,2))"
49/3,16.33333333,26,"((1,0,2), (1,1,2), (1,2,2))"
49/4,12.25000000,18,"((2,0,1), (2,1,1), (2,2,1))"
49/6,8.16666667,5,"((1,0,1), (1,1,1), (1,2,1))"
49/9,5.44444444,1,"((0,0,1), (0,1,1), (0,2,1))"
50,50.00000000,2067,"((3,2,2), (3,3,2))"
