element,decimal_approx,inverse_in_sample,sample_classification,theoretical_unit_within_bound,notes
1,1.00000000,1,unit_in_sample,yes,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
1/2,0.50000000,2,unit_in_sample,yes,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
1/3,0.33333333,3,unit_in_sample,yes,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
1/4,0.25000000,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/6,0.16666667,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/12,0.08333333,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/16,0.06250000,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/18,0.05555556,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/24,0.04166667,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/27,0.03703704,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/36,0.02777778,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/72,0.01388889,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/96,0.01041667,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/108,0.00925926,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/144,0.00694444,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/162,0.00617284,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/216,0.00462963,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/432,0.00231481,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/648,0.00154321,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/864,0.00115741,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/972,0.00102881,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/1296,0.00077160,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/2592,0.00038580,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/3888,0.00025720,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
1/7776,0.00012860,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
2,2.00000000,1/2,unit_in_sample,yes,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
2/9,0.22222222,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
3,3.00000000,1/3,unit_in_sample,yes,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
3/2,1.50000000,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
3/8,0.37500000,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
3/32,0.09375000,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
4/3,1.33333333,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
4/243,0.01646091,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
5/2,2.50000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/4,1.25000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/9,0.55555556,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/12,0.41666667,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/24,0.20833333,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/54,0.09259259,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/72,0.06944444,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/81,0.06172840,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/144,0.03472222,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/324,0.01543210,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/432,0.01157407,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/486,0.01028807,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/864,0.00578704,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/1944,0.00257202,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5/2592,0.00192901,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/2,3.50000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/3,2.33333333,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/6,1.16666667,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/12,0.58333333,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/18,0.38888889,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/27,0.25925926,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/36,0.19444444,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/72,0.09722222,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/108,0.06481481,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/162,0.04320988,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/216,0.03240741,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/243,0.02880658,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/432,0.01620370,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/648,0.01080247,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/972,0.00720165,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/1296,0.00540123,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/2592,0.00270062,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/3888,0.00180041,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7/7776,0.00090021,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
8/81,0.09876543,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
9/4,2.25000000,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
9/16,0.56250000,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
10/3,3.33333333,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
10/27,0.37037037,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/8,1.37500000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/9,1.22222222,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/32,0.34375000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/48,0.22916667,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/54,0.20370370,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/288,0.03819444,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/324,0.03395062,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11/1944,0.00565844,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/4,3.25000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/6,2.16666667,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/12,1.08333333,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/24,0.54166667,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/36,0.36111111,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/72,0.18055556,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/144,0.09027778,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/216,0.06018519,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/432,0.03009259,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/864,0.01504630,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/1296,0.01003086,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/2592,0.00501543,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13/7776,0.00167181,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
14/9,1.55555556,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
14/81,0.17283951,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
16/27,0.59259259,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
16/243,0.06584362,,nonunit_in_sample,yes,Theoretical unit whose inverse was not found in bounded sample. False negative caused by sample boundary.
17/12,1.41666667,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17/16,1.06250000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17/72,0.23611111,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17/81,0.20987654,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17/96,0.17708333,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17/432,0.03935185,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17/486,0.03497942,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17/2592,0.00655864,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
