element,decimal_approx,inverse_in_sample,sample_classification,theoretical_unit_within_bound,notes
1,1.00000000,1,unit_in_sample,yes,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
2,2.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
3,3.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
4,4.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
5,5.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
6,6.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
7,7.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
8,8.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
9,9.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
10,10.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
11,11.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
12,12.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
13,13.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
14,14.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
15,15.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
16,16.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
17,17.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
18,18.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
19,19.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
20,20.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
21,21.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
22,22.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
23,23.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
24,24.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
25,25.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
26,26.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
27,27.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
28,28.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
29,29.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
30,30.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
31,31.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
32,32.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
33,33.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
34,34.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
35,35.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
36,36.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
37,37.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
38,38.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
39,39.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
40,40.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
41,41.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
42,42.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
43,43.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
44,44.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
45,45.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
46,46.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
47,47.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
48,48.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
49,49.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
50,50.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
51,51.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
52,52.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
53,53.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
54,54.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
55,55.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
56,56.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
57,57.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
58,58.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
59,59.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
60,60.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
61,61.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
62,62.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
63,63.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
64,64.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
65,65.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
66,66.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
67,67.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
68,68.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
69,69.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
70,70.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
71,71.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
72,72.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
73,73.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
74,74.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
75,75.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
76,76.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
77,77.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
78,78.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
79,79.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
80,80.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
81,81.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
82,82.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
83,83.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
84,84.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
85,85.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
86,86.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
87,87.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
88,88.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
89,89.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
90,90.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
91,91.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
92,92.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
93,93.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
94,94.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
95,95.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
96,96.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
97,97.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
98,98.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
99,99.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
100,100.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
101,101.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
102,102.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
103,103.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
104,104.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
105,105.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
106,106.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
107,107.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
108,108.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
109,109.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
110,110.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
111,111.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
112,112.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
113,113.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
114,114.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
115,115.00000000,,nonunit_in_sample,no,This is a bounded computational sample. It does not prove the full unit group or any infinite mathematical property.
