element,decimal_approx,classification,decomposition_witness,is_theoretical_atom_within_degree_bound,notes
0,0.00000000,zero,,no,Zero is not an atom in any monoid.
1,1.00000000,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
2,2.00000000,decomposable,1 + 1,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3,3.00000000,decomposable,3/2 + 3/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
3/2,1.50000000,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
4,4.00000000,decomposable,3/2 + 5/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5,5.00000000,decomposable,3/2 + 7/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
5/2,2.50000000,decomposable,3/2 + 1,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
6,6.00000000,decomposable,3/2 + 9/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7,7.00000000,decomposable,3/2 + 11/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
7/2,3.50000000,decomposable,3/2 + 2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
8,8.00000000,decomposable,3/2 + 13/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9,9.00000000,decomposable,3/2 + 15/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9/2,4.50000000,decomposable,3/2 + 3,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
9/4,2.25000000,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
10,10.00000000,decomposable,3/2 + 17/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11,11.00000000,decomposable,3/2 + 19/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
11/2,5.50000000,decomposable,3/2 + 4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
12,12.00000000,decomposable,3/2 + 21/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13,13.00000000,decomposable,3/2 + 23/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13/2,6.50000000,decomposable,3/2 + 5,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
13/4,3.25000000,decomposable,9/4 + 1,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
14,14.00000000,decomposable,3/2 + 25/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
15,15.00000000,decomposable,3/2 + 27/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
15/2,7.50000000,decomposable,3/2 + 6,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
15/4,3.75000000,decomposable,3/2 + 9/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
16,16.00000000,decomposable,3/2 + 29/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
17,17.00000000,decomposable,3/2 + 31/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
17/2,8.50000000,decomposable,3/2 + 7,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
17/4,4.25000000,decomposable,9/4 + 2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
18,18.00000000,decomposable,3/2 + 33/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
19,19.00000000,decomposable,3/2 + 35/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
19/2,9.50000000,decomposable,3/2 + 8,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
19/4,4.75000000,decomposable,3/2 + 13/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
20,20.00000000,decomposable,3/2 + 37/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
21,21.00000000,decomposable,3/2 + 39/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
21/2,10.50000000,decomposable,3/2 + 9,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
21/4,5.25000000,decomposable,3/2 + 15/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
22,22.00000000,decomposable,3/2 + 41/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
23,23.00000000,decomposable,3/2 + 43/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
23/2,11.50000000,decomposable,3/2 + 10,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
23/4,5.75000000,decomposable,3/2 + 17/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
24,24.00000000,decomposable,3/2 + 45/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
25,25.00000000,decomposable,3/2 + 47/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
25/2,12.50000000,decomposable,3/2 + 11,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
25/4,6.25000000,decomposable,3/2 + 19/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
26,26.00000000,decomposable,3/2 + 49/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
27,27.00000000,decomposable,3/2 + 51/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
27/2,13.50000000,decomposable,3/2 + 12,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
27/4,6.75000000,decomposable,3/2 + 21/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
27/8,3.37500000,candidate_atom,,yes,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
28,28.00000000,decomposable,3/2 + 53/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
29,29.00000000,decomposable,3/2 + 55/2,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
29/2,14.50000000,decomposable,3/2 + 13,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
29/4,7.25000000,decomposable,3/2 + 23/4,no,"This is a bounded computational sample. It does not prove atomicity, unique factorization, IDF behavior, or any infinite mathematical property."
