element,decimal_approx,numerator,denominator,support_primes,valuation_vector,selected_primes
1,1.00000000,1,1,[],"[0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
1/2,0.50000000,1,2,[2],"[-1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
1/4,0.25000000,1,4,[2],"[-2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
1/8,0.12500000,1,8,[2],"[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
1/16,0.06250000,1,16,[2],"[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
1/32,0.03125000,1,32,[2],"[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
2,2.00000000,2,1,[2],"[1, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
3,3.00000000,3,1,[3],"[0, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
3/2,1.50000000,3,2,"[2, 3]","[-1, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
3/4,0.75000000,3,4,"[2, 3]","[-2, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
3/8,0.37500000,3,8,"[2, 3]","[-3, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
3/16,0.18750000,3,16,"[2, 3]","[-4, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
3/32,0.09375000,3,32,"[2, 3]","[-5, 1, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
4,4.00000000,4,1,[2],"[2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
5,5.00000000,5,1,[5],"[0, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
5/2,2.50000000,5,2,"[2, 5]","[-1, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
5/4,1.25000000,5,4,"[2, 5]","[-2, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
5/8,0.62500000,5,8,"[2, 5]","[-3, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
5/16,0.31250000,5,16,"[2, 5]","[-4, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
5/32,0.15625000,5,32,"[2, 5]","[-5, 0, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
7/2,3.50000000,7,2,"[2, 7]","[-1, 0, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
7/4,1.75000000,7,4,"[2, 7]","[-2, 0, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
7/8,0.87500000,7,8,"[2, 7]","[-3, 0, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
7/16,0.43750000,7,16,"[2, 7]","[-4, 0, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
7/32,0.21875000,7,32,"[2, 7]","[-5, 0, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
9/2,4.50000000,9,2,"[2, 3]","[-1, 2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
9/4,2.25000000,9,4,"[2, 3]","[-2, 2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
9/8,1.12500000,9,8,"[2, 3]","[-3, 2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
9/16,0.56250000,9,16,"[2, 3]","[-4, 2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
9/32,0.28125000,9,32,"[2, 3]","[-5, 2, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
11/2,5.50000000,11,2,"[2, 11]","[-1, 0, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
11/4,2.75000000,11,4,"[2, 11]","[-2, 0, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
11/8,1.37500000,11,8,"[2, 11]","[-3, 0, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
11/16,0.68750000,11,16,"[2, 11]","[-4, 0, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
11/32,0.34375000,11,32,"[2, 11]","[-5, 0, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
13/4,3.25000000,13,4,"[2, 13]","[-2, 0, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
13/8,1.62500000,13,8,"[2, 13]","[-3, 0, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
13/16,0.81250000,13,16,"[2, 13]","[-4, 0, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
13/32,0.40625000,13,32,"[2, 13]","[-5, 0, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
15/4,3.75000000,15,4,"[2, 3, 5]","[-2, 1, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
15/8,1.87500000,15,8,"[2, 3, 5]","[-3, 1, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
15/16,0.93750000,15,16,"[2, 3, 5]","[-4, 1, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
15/32,0.46875000,15,32,"[2, 3, 5]","[-5, 1, 1, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
17/4,4.25000000,17,4,"[2, 17]","[-2, 0, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
17/8,2.12500000,17,8,"[2, 17]","[-3, 0, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
17/16,1.06250000,17,16,"[2, 17]","[-4, 0, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
17/32,0.53125000,17,32,"[2, 17]","[-5, 0, 0, 0, 0, 0, 1, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
19/4,4.75000000,19,4,"[2, 19]","[-2, 0, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
19/8,2.37500000,19,8,"[2, 19]","[-3, 0, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
19/16,1.18750000,19,16,"[2, 19]","[-4, 0, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
19/32,0.59375000,19,32,"[2, 19]","[-5, 0, 0, 0, 0, 0, 0, 1]","[2, 3, 5, 7, 11, 13, 17, 19]"
21/4,5.25000000,21,4,"[2, 3, 7]","[-2, 1, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
21/8,2.62500000,21,8,"[2, 3, 7]","[-3, 1, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
21/16,1.31250000,21,16,"[2, 3, 7]","[-4, 1, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
21/32,0.65625000,21,32,"[2, 3, 7]","[-5, 1, 0, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
23/4,5.75000000,23,4,"[2, 23]","[-2, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
23/8,2.87500000,23,8,"[2, 23]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
23/16,1.43750000,23,16,"[2, 23]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
23/32,0.71875000,23,32,"[2, 23]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
25/8,3.12500000,25,8,"[2, 5]","[-3, 0, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
25/16,1.56250000,25,16,"[2, 5]","[-4, 0, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
25/32,0.78125000,25,32,"[2, 5]","[-5, 0, 2, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
27/8,3.37500000,27,8,"[2, 3]","[-3, 3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
27/16,1.68750000,27,16,"[2, 3]","[-4, 3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
27/32,0.84375000,27,32,"[2, 3]","[-5, 3, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
29/8,3.62500000,29,8,"[2, 29]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
29/16,1.81250000,29,16,"[2, 29]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
29/32,0.90625000,29,32,"[2, 29]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
31/8,3.87500000,31,8,"[2, 31]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
31/16,1.93750000,31,16,"[2, 31]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
31/32,0.96875000,31,32,"[2, 31]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
33/8,4.12500000,33,8,"[2, 3, 11]","[-3, 1, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
33/16,2.06250000,33,16,"[2, 3, 11]","[-4, 1, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
33/32,1.03125000,33,32,"[2, 3, 11]","[-5, 1, 0, 0, 1, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
35/8,4.37500000,35,8,"[2, 5, 7]","[-3, 0, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
35/16,2.18750000,35,16,"[2, 5, 7]","[-4, 0, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
35/32,1.09375000,35,32,"[2, 5, 7]","[-5, 0, 1, 1, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
37/8,4.62500000,37,8,"[2, 37]","[-3, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
37/16,2.31250000,37,16,"[2, 37]","[-4, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
37/32,1.15625000,37,32,"[2, 37]","[-5, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
39/8,4.87500000,39,8,"[2, 3, 13]","[-3, 1, 0, 0, 0, 1, 0, 0]","[2, 3, 5, 7, 11, 13, 17, 19]"
